Episode, (Transfer RGB), (Transfer RGBD)
473,6.15E+00,2.55E+00
474,2.02E+01,1.06E+01
475,2.02E+01,1.36E+00
476,2.02E+01,2.00E+00
477,2.02E+01,7.15E+00
478,3.67E-01,7.15E+00
479,3.91E+00,7.15E+00
480,3.84E-01,7.15E+00
481,4.34E-01,6.47E+00
482,2.43E-01,1.16E+01
483,2.00E+01,5.50E+00
484,2.00E+01,3.48E+00
485,2.00E+01,9.78E+00
486,1.23E+01,7.26E+00
487,4.56E+00,7.26E+00
488,2.64E-01,7.26E+00
489,1.87E-01,7.26E+00
490,4.46E+00,4.25E+00
491,1.04E-01,8.94E+00
492,1.10E+01,8.94E+00
493,5.51E+00,8.94E+00
494,5.51E+00,8.94E+00
495,5.51E+00,5.91E+00
496,1.22E+01,3.38E+00
497,8.21E+00,3.38E+00
498,2.47E-01,3.38E+00
499,2.26E-01,3.38E+00
500,5.73E-01,3.23E+00
501,1.10E-01,9.92E+00
502,1.76E+01,9.92E+00
503,1.76E+01,9.92E+00
504,1.71E+01,9.92E+00
505,1.71E+01,5.29E+00
506,8.51E+00,1.06E+01
507,4.93E+00,9.80E+00
508,4.93E+00,4.62E+00
509,5.16E+00,5.68E+00
510,3.60E+00,9.26E+00
511,5.38E+00,6.92E+00
512,9.46E+00,1.36E+01
513,1.17E-01,8.96E+00
514,1.69E+01,3.36E+00
515,1.68E+01,4.89E+00
516,1.61E+01,1.26E+01
517,1.61E+01,8.79E+00
518,1.46E+01,5.03E+00
519,1.46E+01,1.18E+01
520,1.46E+01,1.19E+01
521,1.46E+01,7.45E+00
522,4.86E+00,4.67E+00
523,1.13E+00,1.67E+01
524,1.36E+00,1.67E+01
525,1.70E+01,1.67E+01
526,1.69E+01,1.67E+01
527,1.69E+01,1.04E+01
528,1.69E+01,1.01E+01
529,5.01E+00,1.01E+01
530,9.17E+00,1.25E+01
531,8.67E+00,5.20E+00
532,8.67E+00,5.20E+00
533,8.67E+00,5.20E+00
534,2.41E-01,5.20E+00
535,2.62E-01,5.63E+00
536,8.82E-02,5.63E+00
537,3.05E-01,5.63E+00
538,1.19E+00,5.63E+00
539,1.22E-01,8.38E+00
540,6.66E-02,7.07E+00
541,1.73E+00,1.04E+01
542,1.59E+00,1.04E+01
543,2.93E-01,1.04E+01
544,1.08E+00,1.04E+01
545,1.09E+00,1.23E+01
546,1.45E+00,1.13E+01
547,3.09E-01,5.92E+00
548,2.23E+00,8.06E+00
549,3.10E-01,5.69E+00
550,4.40E-01,6.25E+00
551,1.50E+00,6.25E+00
552,1.39E-01,6.25E+00
553,2.75E-01,8.84E+00
554,1.18E+00,8.99E+00
555,1.83E+00,8.61E+00
556,2.25E+00,6.89E+00
557,5.80E-02,1.07E+01
558,3.43E-01,5.01E+00
559,2.71E+00,6.90E+00
560,2.09E-01,5.90E+00
561,1.24E-01,5.45E+00
562,1.87E-01,9.04E+00
563,1.35E+00,8.82E+00
